Nutrition report,,,,,Generated by
Chicken Nuggets (6),,,250 kcall,,14 g Fat
McDonald's,,,20 g Carbs,,14 g Protein
Caramel Sundae,,,304 kcall,,9.27 g Fat
,,,49.31 g Carbs,,7.3 g Protein
,,,0 kcall,,0 g fat
Snacks,,,0 g Carbs,,0 g Protein
2 September,,,,,Activity: 0 kcall burned
Monday,Calories,Carbs,Protein,Fat,Weight: 89
,2550 kcall eaten,84 g eaten,123 g eaten,191 g eaten,
,577 kcall over,59 g over,2 g left,21 g over,
,13% of calories,,19% of calories,68% of calories,
Water 2000 of 2000 (100% of goal),,,,,
,,,452.15 kcall,,28.01 g fat
Breakfast,,,27.46 g Carbs,,20.88 g Protein
Buttercroissant,,,241.15 kcall,,13.58 g Fat
,,,25.94 g Carbs,,3.77 g Protein
Hard-Boiled Egg,,,211 kcall,,14.43 g Fat
,,,1.52 g Carbs,,17.11 g Protein
,,,814.27 kcall,,73.86 g fat
Lunch,,,2.6 g Carbs,,36.01 g Protein
Nürbberger,,,290.67 kcall,,26.67 g Fat
Rostbratwürste,,,0.8 g Carbs,,11.73 g Protein
Fried Egg without Fat,,,95 kcall,,6.39 g Fat
,,,0.5 g Carbs,,8.08 g Protein
Bacon - Aldo Bio,,,137.6 kcall,,12.8 g Fat
,,,0.4 g Carbs,,5.2 g Protein
Btätspätzle,,,291 kcall,,28 g Fat
,,,0.9 g Carbs,,11 g Protein
,,,953.16 kcall,,73.77 g fat
Dinner,,,10.14 g Carbs,,61 g Protein
Ziegenkäse,,,143.56 kcall,,11.84 g Fat
,,,0 g Carbs,,9.25 g Protein
Mini Käsekrainer,,,141.5 kcall,,12 g Fat
,,,0.5 g Carbs,,7.75 g Protein
Rindswurst,,,238 kcall,,20 g Fat
,,,0.4 g Carbs,,14 g Protein
Mussels,,,215 kcall,,5.6 g Fat
,,,9.23 g Carbs,,29.75 g Protein
Butter,,,215.1 kcall,,24.33 g Fat
,,,0.02 g Carbs,,0.26 g Protein
,,,330 kcall,,15.1 g fat
Snacks,,,43.7 g Carbs,,5.1 g Protein
Butter Croissant,,,250 kcall,,14.9 g Fat
Costa Coffee,,,24.1 g Carbs,,4.9 g Protein
Strawberry Jam,,,80 kcall,,0.2 g Fat
Tesco,,,19.6 g Carbs,,0.2 g Protein
3 September,,,,,Activity: 0 kcall burned
Tuesday,Calories,Carbs,Protein,Fat,Weight: 89
,2666 kcall eaten,108 g eaten,147 g eaten,185 g eaten,
,694 kcall over,83 g over,22 g over,15 g over,
,16% of calories,,22% of calories,62% of calories,
Water 2000 of 2000 (100% of goal),,,,,
,,,760.82 kcall,,70.49 g fat
Breakfast,,,1.55 g Carbs,,31.56 g Protein
Ziegenkäse,,,116.4 kcall,,9.6 g Fat
,,,0 g Carbs,,7.5 g Protein
Nürbberger,,,290.67 kcall,,26.67 g Fat
Rostbratwürste,,,0.8 g Carbs,,11.73 g Protein
Organic Virgin Coconut Oil,,,200 kcall,,23.33 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Fried Egg without Fat,,,95 kcall,,6.39 g Fat
,,,0.5 g Carbs,,8.08 g Protein
Zwiebelmettwurst,,,58.75 kcall,,4.5 g Fat
,,,0.25 g Carbs,,4.25 g Protein
,,,632.92 kcall,,37.78 g fat
Lunch,,,1.16 g Carbs,,71.79 g Protein
Ziegenkäse,,,131.92 kcall,,10.88 g Fat
,,,0 g Carbs,,8.5 g Protein
Forelle,,,423 kcall,,21.6 g Fat
,,,0.6 g Carbs,,57 g Protein
Hard-Boiled Egg,,,78 kcall,,5.3 g Fat
,,,0.56 g Carbs,,6.29 g Protein
,,,438.25 kcall,,36.5 g fat
Dinner,,,1.15 g Carbs,,26 g Protein
Rindswurst,,,238 kcall,,20 g Fat
,,,0.4 g Carbs,,14 g Protein
Mini Käsekrainer,,,141.5 kcall,,12 g Fat
,,,0.5 g Carbs,,7.75 g Protein
Zwiebelmettwurst,,,58.75 kcall,,4.5 g Fat
,,,0.25 g Carbs,,4.25 g Protein
,,,834.3 kcall,,40.09 g fat
Snacks,,,103.93 g Carbs,,17.19 g Protein
British Brussels Sprouts,,,61.2 kcall,,1.68 g Fat
Tesco,,,4.92 g Carbs,,4.2 g Protein
Butter,,,71.7 kcall,,8.11 g Fat
,,,0.01 g Carbs,,0.09 g Protein
Bonne Maman Tartelettes,,,585 kcall,,20.7 g Fat
,,,99 g Carbs,,5.4 g Protein
Ziegenkäse,,,116.4 kcall,,9.6 g Fat
,,,0 g Carbs,,7.5 g Protein
4 September,,,,,Activity: 0 kcall burned
Wednesday,Calories,Carbs,Protein,Fat,Weight: 89
,1460 kcall eaten,3 g eaten,64 g eaten,134 g eaten,
,513 kcall left,22 g left,83 g left,36 g left,
,1% of calories,,17% of calories,82% of calories,
Water 1500 of 2000 (75% of goal),,,,,
,,,0 kcall,,0 g fat
Breakfast,,,0 g Carbs,,0 g Protein
,,,939.61 kcall,,85.84 g fat
Lunch,,,2.01 g Carbs,,40.66 g Protein
Organic Virgin Coconut Oil,,,168 kcall,,19.6 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Butter,,,100.38 kcall,,11.36 g Fat
,,,0.01 g Carbs,,0.12 g Protein
Nürbberger,,,290.67 kcall,,26.67 g Fat
Rostbratwürste,,,0.8 g Carbs,,11.73 g Protein
Zwiebelmettwurst,,,47 kcall,,3.6 g Fat
,,,0.2 g Carbs,,3.4 g Protein
Fried Egg without Fat,,,190 kcall,,12.78 g Fat
,,,1 g Carbs,,16.16 g Protein
Ziegenkäse,,,143.56 kcall,,11.84 g Fat
,,,0 g Carbs,,9.25 g Protein
,,,519.92 kcall,,47.96 g fat
Dinner,,,1.06 g Carbs,,23.61 g Protein
Ground Beef - Aldi,,,292.5 kcall,,22.5 g Fat
,,,0 g Carbs,,22.5 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Butter,,,100.38 kcall,,11.36 g Fat
,,,0.01 g Carbs,,0.12 g Protein
Mushrooms,,,7.04 kcall,,0.11 g Fat
,,,1.05 g Carbs,,0.99 g Protein
,,,0 kcall,,0 g fat
Snacks,,,0 g Carbs,,0 g Protein
5 September,,,,,Activity: 0 kcall burned
Thursday,Calories,Carbs,Protein,Fat,Weight: 89
,3717 kcall eaten,226 g eaten,148 g eaten,247 g eaten,
,1744 kcall over,201 g over,140 g over,77 g over,
,24% of calories,,16% of calories,60% of calories,
Water 1000 of 2000 (50% of goal),,,,,
,,,366.96 kcall,,31.79 g fat
Breakfast,,,1.36 g Carbs,,18.36 g Protein
Bacon - Aldo Bio,,,137.6 kcall,,12.8 g Fat
,,,0.4 g Carbs,,5.2 g Protein
,Hard-Boiled Egg,78 kcall,5.3 g Fat,
,,0.56 g Carbs,6.29 g Protein,
,Zwiebelmettwurst,94 kcall,7.2 g Fat,
,,0.4 g Carbs,6.8 g Protein,
,Butter,57.36 kcall,6.49 g Fat,
,,0 g Carbs,0.07 g Protein,
,968.25 kcall,80.42 g fat,,
Lunch,2.66 g Carbs,56.76 g Protein,,
,Bacon - Aldo Bio,103.2 kcall,9.6 g Fat,
,,0.3 g Carbs,3.9 g Protein,
,Fried Egg without Fat,215.8 kcall,14.57 g Fat,
,,1.13 g Carbs,18.43 g Protein,
,Nürbberger,218 kcall,20 g Fat,
,Rostbratwürste,0.6 g Carbs,8.8 g Protein,
,Gorgonzola/Salami Roll,431.25 kcall,36.25 g Fat,
,,0.62 g Carbs,25.62 g Protein,
,661.54 kcall,62.2 g fat,,
Dinner,4.05 g Carbs,24.72 g Protein,,
,Ground Beef - Aldi,292.5 kcall,22.5 g Fat,
,,0 g Carbs,22.5 g Protein,
,Organic Virgin Coconut Oil,160 kcall,18.67 g Fat,
,Trader Joe's,0 g Carbs,0 g Protein,
,Butter,86.04 kcall,9.73 g Fat,
,,0.01 g Carbs,0.1 g Protein,
,Whipping Cream,104 kcall,11.1 g Fat,
,,0.84 g Carbs,0.62 g Protein,
,Pak Choi,19 kcall,0.2 g Fat,
,Tesco,3.2 g Carbs,1.5 g Protein,
,1720 kcall,72.54 g fat,,
Snacks,217.62 g Carbs,47.85 g Protein,,
,Mars Bar (39.4g),354 kcall,13.2 g Fat,
,Mars,54.6 g Carbs,3.4 g Protein,
,Twix,286 kcall,14 g Fat,
,Twix,37.2 g Carbs,2.8 g Protein,
,Ham and Cheese,369 kcall,18.07 g Fat,
,Sandwich with Lettuce and,31.51 g Carbs,19.25 g Protein,
,Original (30g),Spread,157 kcall,10 g Fat
,Pringles,15 g Carbs,1.1 g Protein,
,Hamburger,250 kcall,8 g Fat,
,McDonald's,30 g Carbs,14 g Protein,
,Caramel Sundae,304 kcall,9.27 g Fat,
,,49.31 g Carbs,7.3 g Protein,
6 September,,,,,Activity: 0 kcall burned
Friday,Calories,Carbs,Protein,Fat,Weight: 89
,1979 kcall eaten,108 g eaten,92 g eaten,130 g eaten,
,7 kcall over,83 g over,22 g over,40 g left,
,22% of calories,,19% of calories,59% of calories,
Water 1500 of 2000 (75% of goal),,,,,
,,,444.8 kcall,,28.8 g fat
Breakfast,,,34.4 g Carbs,,9.6 g Protein
Schokolierte Mandeln,,,444.8 kcall,,28.8 g Fat
,,,34.4 g Carbs,,9.6 g Protein
,,,457.5 kcall,,37.3 g fat
Lunch,,,1.46 g Carbs,,28.04 g Protein
Mini Käsekrainer,,,141.5 kcall,,12 g Fat
,,,0.5 g Carbs,,7.75 g Protein
Rindswurst,,,238 kcall,,20 g Fat
,,,0.4 g Carbs,,14 g Protein
Hard-Boiled Egg,,,78 kcall,,5.3 g Fat
,,,0.56 g Carbs,,6.29 g Protein
,,,782 kcall,,39.56 g fat
Dinner,,,67 g Carbs,,40.56 g Protein
Big Mac,,,508 kcall,,25 g Fat
McDonald's,,,43 g Carbs,,26 g Protein
Chicken Nuggets (6),,,250 kcall,,14 g Fat
McDonald's,,,20 g Carbs,,14 g Protein
Barbecue Sauce (Bottled),,,24 kcall,,0.56 g Fat
,,,4 g Carbs,,0.56 g Protein
,,,295 kcall,,24.5 g fat
Snacks,,,5 g Carbs,,13.8 g Protein
Original Salted Peanuts,,,295 kcall,,24.5 g Fat
KP,,,5 g Carbs,,13.8 g Protein
7 September,,,,,Activity: 0 kcall burned
Saturday,Calories,Carbs,Protein,Fat,Weight: 89
,2915 kcall eaten,199 g eaten,121 g eaten,181 g eaten,
,942 kcall over,174 g over,113 g over,11 g over,
,27% of calories,,17% of calories,56% of calories,
Water 500 of 2000 (25% of goal),,,,,
,,,528 kcall,,46.78 g fat
Breakfast,,,1.6 g Carbs,,24.96 g Protein
Nürbberger,,,218 kcall,,20 g Fat
Rostbratwürste,,,0.6 g Carbs,,8.8 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Fried Egg without Fat,,,190 kcall,,12.78 g Fat
,,,1 g Carbs,,16.16 g Protein
,,,712 kcall,,35.95 g fat
Lunch,,,69.87 g Carbs,,31.76 g Protein
Mashed Potato made with,,,85 kcall,,0.35 g Fat
Milk (from Fresh),,,18.96 g Carbs,,1.98 g Protein
Creamed Spinach,,,148 kcall,,9.02 g Fat
,,,11.94 g Carbs,,6.66 g Protein
Minced or Patty Pork,,,236 kcall,,16.48 g Fat
,,,0 g Carbs,,20.38 g Protein
Brownie,,,243 kcall,,10.1 g Fat
,,,38.97 g Carbs,,2.74 g Protein
,,,827.05 kcall,,63.45 g fat
Dinner,,,5.52 g Carbs,,55.88 g Protein
Ground Beef - Aldi,,,292.5 kcall,,22.5 g Fat
,,,0 g Carbs,,22.5 g Protein
Rindswurst,,,238 kcall,,20 g Fat
,,,0.4 g Carbs,,14 g Protein
British Brussels Sprouts,,,63.75 kcall,,1.75 g Fat
Tesco,,,5.12 g Carbs,,4.38 g Protein
Ziegenkäse,,,232.8 kcall,,19.2 g Fat
,,,0 g Carbs,,15 g Protein
,,,848 kcall,,35.2 g fat
Snacks,,,121.6 g Carbs,,8.01 g Protein
Cookie,,,848 kcall,,35.2 g Fat
Oreo,,,121.6 g Carbs,,8.01 g Protein
9 September,,,,,Activity: 0 kcall burned
Monday,Calories,Carbs,Protein,Fat,Weight: 89
,730 kcall eaten,17 g eaten,39 g eaten,55 g eaten,
,1243 kcall left,8 g left,69 g left,115 g left,
,9% of calories,,22% of calories,69% of calories,
Water 0 of 2000 (0% of goal),,,,,
,,,157 kcall,,10 g fat
Breakfast,,,15 g Carbs,,1.1 g Protein
Original (30g),,,157 kcall,,10 g Fat
Pringles,,,15 g Carbs,,1.1 g Protein
,,,573.2 kcall,,45.28 g fat
Lunch,,,2 g Carbs,,38.16 g Protein
Vespermettwurst,,,61.2 kcall,,3.2 g Fat
,,,0.4 g Carbs,,7.6 g Protein
Nürbberger,,,218 kcall,,20 g Fat
Rostbratwürste,,,0.6 g Carbs,,8.8 g Protein
Fried Egg without Fat,,,190 kcall,,12.78 g Fat
,,,1 g Carbs,,16.16 g Protein
French Brie,,,104 kcall,,9.3 g Fat
Sainsbury's Basics,,,0 g Carbs,,5.6 g Protein
,,,0 kcall,,0 g fat
Dinner,,,0 g Carbs,,0 g Protein
,,,0 kcall,,0 g fat
Snacks,,,0 g Carbs,,0 g Protein
10 September,,,,,Activity: 0 kcall burned
Tuesday,Calories,Carbs,Protein,Fat,Weight: 89
,1507 kcall eaten,73 g eaten,61 g eaten,109 g eaten,
,466 kcall left,48 g over,13 g left,61 g left,
,19% of calories,,16% of calories,65% of calories,
Water 500 of 2000 (25% of goal),,,,,
,,,670.13 kcall,,38.06 g fat
Breakfast,,,72.71 g Carbs,,10.63 g Protein
Original (30g),,,98.13 kcall,,6.25 g Fat
Pringles,,,9.38 g Carbs,,0.69 g Protein
Danish Pastry,,,572 kcall,,31.81 g Fat
,,,63.33 g Carbs,,9.94 g Protein
,,,836.94 kcall,,71.13 g fat
Lunch,,,0.31 g Carbs,,50.8 g Protein
Ground Beef - Aldi,,,585 kcall,,45 g Fat
,,,0 g Carbs,,45 g Protein
Vespermettwurst,,,45.9 kcall,,2.4 g Fat
,,,0.3 g Carbs,,5.7 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Butter,,,86.04 kcall,,9.73 g Fat
,,,0.01 g Carbs,,0.1 g Protein
,,,0 kcall,,0 g fat
Dinner,,,0 g Carbs,,0 g Protein
,,,0 kcall,,0 g fat
Snacks,,,0 g Carbs,,0 g Protein
11 September,,,,,Activity: 0 kcall burned
Wednesday,Calories,Carbs,Protein,Fat,Weight: 89
,1536 kcall eaten,48 g eaten,83 g eaten,83 g eaten,
,437 kcall left,23 g over,38 g left,87 g left,
,15% of calories,,26% of calories,59% of calories,
Water 2000 of 2000 (100% of goal),,,,,
,,,0 kcall,,0 g fat
Breakfast,,,0 g Carbs,,0 g Protein
,,,769.4 kcall,,51.33 g fat
Lunch,,,12.59 g Carbs,,62.95 g Protein
Mussels,,,258 kcall,,6.72 g Fat
,,,11.08 g Carbs,,35.7 g Protein
Butter,,,143.4 kcall,,16.22 g Fat
,,,0.01 g Carbs,,0.17 g Protein
Fried Egg without Fat,,,95 kcall,,6.39 g Fat
,,,0.5 g Carbs,,8.08 g Protein
Vespermettwurst,,,153 kcall,,8 g Fat
,,,1 g Carbs,,19 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
,,,766.31 kcall,,31.78 g fat
Dinner,,,34.93 g Carbs,,19.75 g Protein
Beer,,,416 kcall,,0 g Fat
,,,33.92 g Carbs,,4.48 g Protein
Zwiebelmettwurst,,,117.5 kcall,,9 g Fat
,,,0.5 g Carbs,,8.5 g Protein
Bacon - Aldo Bio,,,172 kcall,,16 g Fat
,,,0.5 g Carbs,,6.5 g Protein
Butter,,,57.36 kcall,,6.49 g Fat
,,,0 g Carbs,,0.07 g Protein
Gorgonzola/Salami Roll,,,3.45 kcall,,0.29 g Fat
,,,0 g Carbs,,0.2 g Protein
,,,0 kcall,,0 g fat
Snacks,,,0 g Carbs,,0 g Protein
12 September,,,,,Activity: 0 kcall burned
Thursday,Calories,Carbs,Protein,Fat,Weight: 89
,3041 kcall eaten,78 g eaten,143 g eaten,183 g eaten,
,1069 kcall over,54 g over,8 g left,13 g over,
,12% of calories,,23% of calories,65% of calories,
Water 1500 of 2000 (75% of goal),,,,,
,,,528 kcall,,46.78 g fat
Breakfast,,,1.6 g Carbs,,24.96 g Protein
Fried Egg without Fat,,,190 kcall,,12.78 g Fat
,,,1 g Carbs,,16.16 g Protein
Nürbberger,,,218 kcall,,20 g Fat
Rostbratwürste,,,0.6 g Carbs,,8.8 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
,,,1353.86 kcall,,106.64 g fat
Lunch,,,7.65 g Carbs,,95.67 g Protein
Chicken Mortadella with,,,241 kcall,,19.5 g Fat
PaprikaTahira,,,5.2 g Carbs,,11.2 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Käsekrainer,,,322 kcall,,26.4 g Fat
,,,0.3 g Carbs,,20.9 g Protein
Butter,,,57.36 kcall,,6.49 g Fat
,,,0 g Carbs,,0.07 g Protein
Btätspätzle,,,291 kcall,,28 g Fat
,,,0.9 g Carbs,,11 g Protein
Feneberg Ground Beef,,,322.5 kcall,,12.25 g Fat
,,,1.25 g Carbs,,52.5 g Protein
,,,327.6 kcall,,30 g fat
Dinner,,,1.2 g Carbs,,13.2 g Protein
Weißwurst,,,327.6 kcall,,30 g Fat
,,,1.2 g Carbs,,13.2 g Protein
,,,832 kcall,,0 g fat
Snacks,,,67.84 g Carbs,,8.96 g Protein
Beer,,,832 kcall,,0 g Fat
,,,67.84 g Carbs,,8.96 g Protein
13 September,,,,,Activity: 0 kcall burned
Friday,Calories,Carbs,Protein,Fat,Weight: 89
,4483 kcall eaten,157 g eaten,218 g eaten,270 g eaten,
,2510 kcall over,132 g over,71 g over,100 g over,
,16% of calories,,22% of calories,62% of calories,
Water 1500 of 2000 (75% of goal),,,,,
,,,900.8 kcall,,79.74 g fat
Breakfast,,,2.4 g Carbs,,43.2 g Protein
Fried Egg without Fat,,,190 kcall,,12.78 g Fat
,,,1 g Carbs,,16.16 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Nürbberger,,,218 kcall,,20 g Fat
Rostbratwürste,,,0.6 g Carbs,,8.8 g Protein
Schwatzwälder Landjäger,,,372.8 kcall,,32.96 g Fat
,,,0.8 g Carbs,,18.24 g Protein
,,,1047.28 kcall,,71.65 g fat
Lunch,,,26.56 g Carbs,,72.92 g Protein
Strenellachs,,,303.75 kcall,,20.75 g Fat
,,,0 g Carbs,,29.5 g Protein
Rump Steak,,,262.5 kcall,,14.82 g Fat
,,,0 g Carbs,,31.17 g Protein
Butter,,,64.53 kcall,,7.3 g Fat
,,,0.01 g Carbs,,0.08 g Protein
85% Dark Chocolate,,,132.5 kcall,,11.5 g Fat
Lindt,,,4.75 g Carbs,,2.75 g Protein
Borek,,,284 kcall,,17.28 g Fat
,,,21.8 g Carbs,,9.42 g Protein
,,,2534.84 kcall,,118.98 g fat
Dinner,,,133.78 g Carbs,,101.94 g Protein
Gelbwurst,,,293 kcall,,27 g Fat
,,,1 g Carbs,,11 g Protein
Beer,,,832 kcall,,0 g Fat
,,,67.84 g Carbs,,8.96 g Protein
Big Mac,,,508 kcall,,25 g Fat
McDonald's,,,43 g Carbs,,26 g Protein
Chicken Nuggets (6),,,250 kcall,,14 g Fat
McDonald's,,,20 g Carbs,,14 g Protein
Barbecue Sauce,,,7.84 kcall,,0.18 g Fat
,,,1.34 g Carbs,,0.18 g Protein
Käsekrainer,,,644 kcall,,52.8 g Fat
,,,0.6 g Carbs,,41.8 g Protein
,,,0 kcall,,0 g fat
Snacks,,,0 g Carbs,,0 g Protein
14 September,,,,,Activity: 0 kcall burned
Saturday,Calories,Carbs,Protein,Fat,Weight: 89
,2667 kcall eaten,51 g eaten,126 g eaten,217 g eaten,
,695 kcall over,27 g over,35 g left,47 g over,
,8% of calories,,19% of calories,73% of calories,
Water 1500 of 2000 (75% of goal),,,,,
,,,771.7 kcall,,70.89 g fat
Breakfast,,,2.11 g Carbs,,31.54 g Protein
Fried Egg without Fat,,,190 kcall,,12.78 g Fat
,,,1 g Carbs,,16.16 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Nürbberger,,,218 kcall,,20 g Fat
Rostbratwürste,,,0.6 g Carbs,,8.8 g Protein
Butter,,,71.7 kcall,,8.11 g Fat
,,,0.01 g Carbs,,0.09 g Protein
Bacon - Aldo Bio,,,172 kcall,,16 g Fat
,,,0.5 g Carbs,,6.5 g Protein
,,,607.5 kcall,,47.5 g fat
Lunch,,,0 g Carbs,,45 g Protein
Ground Beef Norma,,,607.5 kcall,,47.5 g Fat
,,,0 g Carbs,,45 g Protein
,,,575 kcall,,45.28 g fat
Dinner,,,22.7 g Carbs,,20.42 g Protein
Btätspätzle,,,291 kcall,,28 g Fat
,,,0.9 g Carbs,,11 g Protein
Borek,,,284 kcall,,17.28 g Fat
,,,21.8 g Carbs,,9.42 g Protein
,,,713.15 kcall,,53.74 g fat
Snacks,,,30.76 g Carbs,,29.29 g Protein
85% Dark Chocolate,,,132.5 kcall,,11.5 g Fat
Lindt,,,4.75 g Carbs,,2.75 g Protein
Schwatzwälder Landjäger,,,419.4 kcall,,37.08 g Fat
,,,0.9 g Carbs,,20.52 g Protein
Ayran,,,90 kcall,,4.75 g Fat
,,,7 g Carbs,,5.1 g Protein
Blueberries,,,71.25 kcall,,0.41 g Fat
,,,18.11 g Carbs,,0.93 g Protein
15 September,,,,,Activity: 0 kcall burned
Sunday,Calories,Carbs,Protein,Fat,Weight: 89
,3248 kcall eaten,128 g eaten,112 g eaten,194 g eaten,
,1275 kcall over,104 g over,42 g over,24 g over,
,19% of calories,,17% of calories,64% of calories,
Water 1500 of 2000 (75% of goal),,,,,
,,,0 kcall,,0 g fat
Breakfast,,,0 g Carbs,,0 g Protein
,,,945.87 kcall,,87.21 g fat
Lunch,,,3.57 g Carbs,,37.41 g Protein
Zwiebelmettwurst,,,117.5 kcall,,9 g Fat
,,,0.5 g Carbs,,8.5 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Nürbberger,,,290.67 kcall,,26.67 g Fat
Rostbratwürste,,,0.8 g Carbs,,11.73 g Protein
Fried Egg without Fat,,,190 kcall,,12.78 g Fat
,,,1 g Carbs,,16.16 g Protein
Butter,,,71.7 kcall,,8.11 g Fat
,,,0.01 g Carbs,,0.09 g Protein
Whipping Cream,,,156 kcall,,16.65 g Fat
,,,1.26 g Carbs,,0.93 g Protein
,,,1960 kcall,,76.71 g fat
Dinner,,,123.75 g Carbs,,61.57 g Protein
Käsekrainer,,,161 kcall,,13.2 g Fat
,,,0.15 g Carbs,,10.45 g Protein
Beer,,,220 kcall,,0 g Fat
,,,18 g Carbs,,2.35 g Protein
Whopper,,,653 kcall,,35.4 g Fat
Burger King,,,51.5 g Carbs,,30.5 g Protein
Lettuce Salad with,,,11 kcall,,0.11 g Fat
Assorted Vegetables,,,2.32 g Carbs,,0.55 g Protein
Beer,,,624 kcall,,0 g Fat
,,,50.88 g Carbs,,6.72 g Protein
Btätspätzle,,,291 kcall,,28 g Fat
,,,0.9 g Carbs,,11 g Protein
,,,342.2 kcall,,30.04 g fat
Snacks,,,5.2 g Carbs,,13.01 g Protein
85% Dark Chocolate,,,132.5 kcall,,11.5 g Fat
Lindt,,,4.75 g Carbs,,2.75 g Protein
Schwatzwälder Landjäger,,,209.7 kcall,,18.54 g Fat
